image_id,tag_id,tag_name,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10
771530,20,Architecture,0,1,1,16,51,55,19,12,3,3
771346,18,Still Life,0,0,1,13,56,59,25,6,4,2
771355,20,Architecture,0,0,3,14,65,51,18,9,3,0
771637,20,Architecture,0,0,3,10,51,50,34,15,2,1
770632,18,Still Life,0,0,1,13,48,62,32,9,3,4
771269,18,Still Life,0,2,4,29,79,32,11,2,1,0
770911,20,Architecture,1,1,3,7,43,48,41,18,9,0
771351,18,Still Life,0,0,4,15,37,71,27,7,6,2
770891,20,Architecture,0,2,5,28,56,40,17,12,4,2
770992,14,Landscape,0,0,4,2,41,61,42,12,9,2
771571,20,Architecture,1,1,3,9,64,51,29,15,4,1
771185,14,Landscape,3,2,10,31,57,32,12,7,8,0
771047,20,Architecture,0,2,12,44,73,24,6,3,0,1
770684,20,Architecture,0,2,6,30,69,38,8,2,2,0
770185,2,Cityscape,3,15,18,58,38,13,12,3,2,1
771234,18,Still Life,0,0,5,20,55,53,22,8,2,0
770638,20,Architecture,0,1,7,17,58,52,21,9,2,1
771602,20,Architecture,0,0,1,7,36,60,37,20,7,8
771404,15,Nature,3,7,32,53,55,15,2,4,0,1
771254,20,Architecture,0,0,5,5,69,54,23,7,2,1
770916,14,Landscape,0,1,3,12,46,52,35,15,3,5
771466,20,Architecture,1,1,3,17,29,46,39,11,11,8
771296,18,Still Life,0,2,6,27,61,44,21,7,4,1
770486,2,Cityscape,0,0,1,3,20,48,50,19,21,11
771533,20,Architecture,0,2,8,21,59,52,12,6,3,1
771233,20,Architecture,0,0,5,7,21,60,30,20,19,7
770238,20,Architecture,0,0,2,7,40,57,35,16,5,3
769857,18,Still Life,0,0,6,23,62,53,13,6,1,2
771438,20,Architecture,0,1,6,28,73,37,10,2,2,0
771399,14,Landscape,0,0,1,3,13,40,58,32,20,12
771027,20,Architecture,0,1,2,22,67,52,14,2,1,0
770768,27,Rural,0,2,6,27,65,47,9,3,4,0
771131,14,Landscape,1,1,15,43,62,28,7,3,2,0
771634,20,Architecture,0,1,7,23,56,61,18,6,2,0
769959,18,Still Life,0,7,14,33,73,25,10,1,2,0
770809,14,Landscape,0,1,6,21,60,45,20,5,2,2
771524,14,Landscape,0,0,5,25,79,41,8,2,1,0
771163,20,Architecture,0,0,1,7,41,52,39,20,11,0
771585,20,Architecture,0,2,5,21,75,43,18,4,0,0
771650,20,Architecture,0,0,4,18,86,36,12,2,1,1
770900,14,Landscape,1,1,7,38,53,34,21,11,3,2
769987,20,Architecture,0,0,5,17,52,50,21,8,3,2
771111,14,Landscape,0,0,0,6,23,41,53,28,11,5
771238,14,Landscape,0,1,9,22,85,39,10,4,0,0
771447,20,Architecture,0,0,2,17,77,43,13,7,8,0
770854,14,Landscape,0,0,0,4,18,54,48,26,13,14
771347,20,Architecture,0,1,4,24,60,43,13,10,4,1
771376,18,Still Life,0,0,11,18,72,47,20,1,3,0
771401,18,Still Life,0,2,1,16,50,55,19,15,4,0
770904,18,Still Life,0,0,3,18,63,45,32,6,0,3
769730,18,Still Life,3,3,12,41,73,20,7,4,1,0
771651,18,Still Life,8,11,31,43,48,12,5,2,1,0
771107,20,Architecture,0,1,9,36,76,24,12,5,1,0
771549,14,Landscape,0,0,3,20,72,43,15,5,2,2
771149,14,Landscape,0,2,7,13,41,51,23,17,10,2
771005,20,Architecture,0,0,3,13,57,65,20,11,5,2
771593,20,Architecture,0,0,5,10,45,49,38,16,4,2
770608,2,Cityscape,0,2,18,35,70,22,7,4,1,0
771172,14,Landscape,0,0,3,7,57,58,33,10,3,2
771249,20,Architecture,0,1,5,32,67,40,10,2,1,1
769801,20,Architecture,1,8,24,40,64,17,5,2,1,0
770649,14,Landscape,0,0,1,8,52,64,26,16,10,2
771605,27,Rural,1,0,4,32,59,38,22,4,2,0
771148,14,Landscape,1,0,9,42,63,30,14,5,2,1
770875,20,Architecture,0,0,1,8,36,56,33,25,7,4
771429,15,Nature,1,5,16,52,56,20,5,1,1,0
771570,27,Rural,0,1,4,23,74,44,10,2,3,1
771294,20,Architecture,0,0,3,10,61,47,25,11,3,3
771500,27,Rural,0,1,6,6,55,45,29,19,4,0
771202,20,Architecture,0,1,7,17,79,39,11,7,2,2
771411,27,Rural,0,1,5,17,70,47,16,6,3,0
771516,20,Architecture,0,1,4,11,59,63,27,3,3,1
770538,14,Landscape,0,0,1,6,38,65,40,16,4,4
771545,14,Landscape,2,7,27,48,53,18,3,4,2,0
771508,18,Still Life,1,4,15,46,66,20,6,2,1,0
771502,27,Rural,0,3,8,33,67,37,12,5,1,1
771625,18,Still Life,0,2,3,18,62,51,18,9,1,0
771627,20,Architecture,0,0,8,15,49,49,26,8,1,2
771497,27,Rural,0,1,6,15,52,62,20,8,1,2
930473,15,Nature,0,4,9,31,78,37,22,8,2,2
930657,20,Architecture,2,1,7,41,49,49,25,5,2,2
929988,18,Still Life,0,3,19,39,70,40,10,4,1,1
930455,2,Cityscape,0,3,2,26,56,58,31,11,2,2
930705,20,Architecture,1,3,3,26,52,56,25,8,5,4
929897,20,Architecture,0,0,4,11,34,64,44,17,5,4
930695,20,Architecture,2,5,13,34,55,51,18,2,4,1
930465,2,Cityscape,0,4,4,25,61,50,26,6,4,2
930674,20,Architecture,2,4,11,42,67,49,7,7,0,2
930324,20,Architecture,2,2,12,39,80,35,9,3,1,2
930717,20,Architecture,1,1,2,18,68,51,26,10,5,3
930638,20,Architecture,1,4,17,53,70,32,5,4,0,2
930194,14,Landscape,1,0,5,11,34,63,39,19,12,10
930499,20,Architecture,2,1,5,12,41,55,38,24,6,11
930694,20,Architecture,1,4,15,54,64,33,4,4,0,1
930219,20,Architecture,2,1,5,29,41,52,27,19,4,4
930293,20,Architecture,1,1,5,21,62,58,20,12,3,2
929995,18,Still Life,0,0,6,20,51,60,29,14,5,3
930217,14,Landscape,4,12,28,56,58,18,4,1,2,1
930336,2,Cityscape,1,6,8,38,63,45,15,4,1,2
930532,20,Architecture,0,1,10,8,43,59,34,19,5,5
930636,14,Landscape,3,8,9,38,46,46,18,5,5,4
930808,20,Architecture,1,0,7,23,72,48,25,4,0,3
930254,20,Architecture,0,0,1,10,28,57,40,31,12,8
930212,20,Architecture,1,1,4,29,74,52,14,5,1,2
930767,15,Nature,0,5,6,39,69,45,9,9,4,1
930632,27,Rural,0,7,25,51,53,35,9,5,2,2
929914,18,Still Life,3,5,24,52,55,25,7,2,0,1
930390,14,Landscape,0,2,4,8,33,51,38,24,13,12
930476,20,Architecture,0,4,3,15,44,53,30,26,9,8
930756,14,Landscape,0,1,4,26,44,59,28,17,2,4
930021,20,Architecture,2,1,5,17,54,61,29,14,1,3
930770,14,Landscape,1,6,8,25,49,51,27,17,5,5
930542,20,Architecture,1,4,4,25,45,51,31,11,5,7
930698,15,Nature,1,3,17,26,57,54,13,6,2,3
930761,15,Nature,3,7,13,35,67,39,14,4,2,3
929777,14,Landscape,2,1,10,36,65,43,20,8,2,2
929936,18,Still Life,0,1,2,10,39,64,34,27,9,4
930247,18,Still Life,0,2,8,31,67,48,17,7,4,2
930248,20,Architecture,1,0,4,22,54,56,34,9,3,3
930456,20,Architecture,0,0,4,15,37,53,43,19,12,4
929918,2,Cityscape,4,8,11,39,60,38,11,5,0,3
930401,20,Architecture,0,0,1,11,29,61,40,27,13,6
929781,18,Still Life,0,0,4,10,37,56,48,12,11,7
930594,2,Cityscape,0,1,7,19,55,59,31,8,3,1
930235,20,Architecture,1,3,7,17,57,55,35,8,3,5
930773,14,Landscape,3,3,12,31,41,45,26,12,10,6
929981,18,Still Life,2,9,21,49,44,33,12,3,0,2
930407,20,Architecture,10,10,33,32,35,26,18,14,4,3
930799,20,Architecture,6,21,34,62,44,14,1,0,0,2
930446,20,Architecture,2,5,9,25,61,46,23,2,3,1
930644,18,Still Life,1,3,7,17,44,62,28,9,6,6
929810,20,Architecture,2,3,4,12,38,54,40,13,11,4
930711,14,Landscape,1,1,3,23,46,51,39,14,6,8
930660,20,Architecture,1,0,4,5,41,55,43,23,7,6
930445,18,Still Life,0,4,11,26,50,56,22,9,4,2
930435,20,Architecture,0,0,6,9,48,55,41,17,6,5
930600,2,Cityscape,2,9,21,46,52,31,15,10,0,4
930727,20,Architecture,1,2,11,33,69,46,15,6,0,3
930789,20,Architecture,0,1,4,19,49,65,28,12,3,7
930758,20,Architecture,0,1,6,22,54,50,30,11,4,2
929957,20,Architecture,1,2,6,23,62,57,23,8,3,2
929843,20,Architecture,0,3,1,16,68,62,24,10,7,1
930650,14,Landscape,0,1,3,15,49,68,19,20,7,3
930662,20,Architecture,1,0,14,42,69,43,11,6,2,1
930630,18,Still Life,3,16,37,47,58,19,1,0,1,1
930769,20,Architecture,3,1,6,29,59,62,13,7,4,1
445231,14,Landscape,0,0,4,11,49,69,36,27,14,7
444029,15,Nature,0,0,1,8,51,84,46,22,6,5
445235,18,Still Life,0,0,4,28,88,53,21,7,4,1
444465,18,Still Life,1,0,2,7,46,61,37,34,19,11
445067,28,Water,0,0,1,14,45,72,38,26,11,5
444200,27,Rural,2,1,12,44,77,48,15,8,3,1
443773,7,Sky,1,3,16,62,77,42,14,2,0,1
444242,28,Water,1,1,8,32,78,67,20,4,1,2
444986,18,Still Life,5,8,16,48,68,40,15,8,0,1
443926,15,Nature,0,3,5,30,81,61,19,6,3,2
444966,15,Nature,0,0,0,5,21,60,48,47,18,17
444009,18,Still Life,0,1,3,15,71,71,26,17,4,3
445097,28,Water,1,4,11,50,82,40,8,4,4,2
444681,18,Still Life,0,0,4,19,75,61,29,15,4,6
444395,27,Rural,1,2,16,50,86,34,11,2,1,1
444910,18,Still Life,1,1,5,20,64,67,34,13,4,4
443072,20,Architecture,6,6,9,37,73,41,17,13,4,2
445325,18,Still Life,1,2,7,35,93,50,21,2,1,1
149450,20,Architecture,0,10,21,62,90,84,50,27,12,4
149576,18,Still Life,0,9,24,82,100,67,47,19,10,1
149299,18,Still Life,12,22,45,100,95,54,16,5,1,4
148124,18,Still Life,1,6,15,37,86,95,68,35,17,7
149427,2,Cityscape,1,10,39,70,113,61,35,12,5,1
149542,18,Still Life,2,9,30,88,112,61,29,17,4,0
149517,27,Rural,0,2,10,36,104,93,60,41,18,5
148631,20,Architecture,7,14,39,62,86,61,43,21,12,1
149376,2,Cityscape,4,11,30,55,119,79,43,12,5,1
149601,18,Still Life,4,7,32,67,105,71,39,14,8,3
149544,20,Architecture,4,14,32,72,130,51,26,12,3,3
149199,18,Still Life,4,11,36,94,113,66,14,11,4,0
148701,18,Still Life,4,8,31,105,115,52,19,12,0,1
149386,18,Still Life,1,5,9,46,98,107,54,25,7,7
149353,18,Still Life,6,15,53,101,103,50,14,9,4,2
149462,18,Still Life,4,18,56,105,91,51,25,9,4,0
149186,2,Cityscape,6,16,40,83,82,64,34,18,5,2
149596,18,Still Life,2,20,47,97,110,54,15,7,1,0
147834,28,Water,7,13,34,62,85,79,41,26,6,7
149466,18,Still Life,3,7,36,89,116,68,21,13,5,2
149342,18,Still Life,3,13,29,76,129,57,18,8,4,1
148296,18,Still Life,7,19,47,99,93,53,23,7,2,0
148459,18,Still Life,2,9,26,68,134,68,37,13,5,2
148084,18,Still Life,2,5,20,39,94,92,53,32,12,9
149433,18,Still Life,2,11,17,63,111,78,42,14,7,5
149343,18,Still Life,5,21,59,128,104,30,7,6,1,0
148423,18,Still Life,5,11,40,105,117,59,16,5,2,0
148685,18,Still Life,5,14,29,107,122,53,20,6,3,0
149086,14,Landscape,13,31,64,104,85,35,8,11,3,1
149246,18,Still Life,3,13,48,99,97,71,17,4,3,0
147815,18,Still Life,3,11,43,86,107,69,29,9,2,1
149245,18,Still Life,7,13,43,70,99,62,29,13,3,2
149313,18,Still Life,0,11,21,33,73,76,47,44,27,17
149507,18,Still Life,10,26,37,97,103,46,17,7,5,1
147996,15,Nature,17,39,66,102,84,26,9,3,2,0
775607,2,Cityscape,0,0,3,17,54,65,34,10,4,3
775599,14,Landscape,0,4,13,39,78,32,9,3,2,1
774319,20,Architecture,0,2,4,16,58,70,27,12,1,2
775248,2,Cityscape,0,1,6,15,42,65,29,21,9,8
774796,28,Water,3,8,23,48,56,30,11,1,2,2
774683,7,Sky,1,2,26,57,81,14,3,1,0,1
775704,14,Landscape,0,1,2,8,51,49,38,21,11,5
775041,2,Cityscape,0,0,0,5,27,61,56,31,11,4
775660,14,Landscape,0,1,2,9,35,64,53,18,7,5
775318,2,Cityscape,0,0,5,11,40,70,42,14,5,2
775258,20,Architecture,0,1,13,38,70,39,19,4,0,5
775278,2,Cityscape,0,0,3,9,40,60,48,23,7,2
774900,28,Water,0,1,4,18,54,64,32,9,2,1
774524,18,Still Life,0,1,3,11,43,58,41,16,5,2
774871,2,Cityscape,0,1,3,5,25,50,55,31,12,10
775280,7,Sky,1,2,13,40,71,41,11,1,1,2
775294,14,Landscape,0,1,4,18,66,55,34,4,2,3
775713,18,Still Life,1,5,14,37,54,42,15,9,1,3
775367,18,Still Life,1,3,5,20,51,56,31,11,5,6
775209,20,Architecture,6,5,22,55,65,18,4,1,0,2
774455,14,Landscape,0,2,4,31,71,52,17,2,5,1
775302,2,Cityscape,0,0,4,15,62,69,26,8,5,1
775414,18,Still Life,0,2,7,14,61,53,24,11,2,5
775712,7,Sky,1,2,1,15,39,60,45,20,9,2
775691,15,Nature,0,2,8,41,85,28,11,2,0,1
775511,14,Landscape,0,1,2,6,42,79,50,11,3,3
775533,14,Landscape,1,9,24,52,58,19,6,5,1,1
774510,28,Water,0,3,9,9,35,54,29,24,8,13
775082,14,Landscape,0,0,0,1,26,50,49,37,14,15
775422,18,Still Life,1,5,12,27,84,42,8,6,0,2
775103,2,Cityscape,0,0,0,10,42,57,34,31,7,9
775015,28,Water,0,1,1,2,16,58,49,33,20,13
775679,18,Still Life,0,4,6,25,74,48,15,7,1,2
775435,15,Nature,2,12,28,61,63,14,1,0,0,3
775007,14,Landscape,1,3,13,31,77,38,8,4,0,2
775441,2,Cityscape,0,1,4,13,55,71,40,8,2,1
774992,14,Landscape,11,29,45,52,24,14,3,0,0,2
775675,7,Sky,0,1,4,8,38,61,36,19,9,4
775570,28,Water,0,1,5,16,55,72,26,11,2,2
775135,2,Cityscape,0,2,11,33,75,44,13,0,2,1
775661,2,Cityscape,0,1,3,7,30,55,50,26,11,5
775532,28,Water,0,1,2,0,22,52,59,35,15,9
775646,14,Landscape,0,1,3,11,55,77,22,8,5,1
775426,7,Sky,0,2,9,24,64,49,22,8,3,3
307079,14,Landscape,1,2,2,3,15,40,52,46,31,28
306189,14,Landscape,2,0,7,11,36,52,51,34,14,7
308877,14,Landscape,1,1,6,11,51,76,42,19,2,2
308077,18,Still Life,4,13,36,80,43,26,5,6,1,0
307930,28,Water,0,2,5,17,65,62,41,13,4,4
308466,2,Cityscape,0,4,10,27,68,66,18,9,1,1
308862,14,Landscape,2,10,21,84,59,20,7,3,3,1
308117,20,Architecture,0,11,20,54,72,24,4,7,0,2
307148,18,Still Life,0,2,10,30,68,59,17,12,4,1
307939,28,Water,2,5,10,28,81,49,24,9,6,0
308245,14,Landscape,1,1,3,3,26,48,53,36,23,17
308315,2,Cityscape,2,2,3,17,46,67,50,14,12,3
308680,15,Nature,1,0,4,10,39,63,42,27,18,6
308889,14,Landscape,1,1,4,23,75,58,32,16,4,3
308749,2,Cityscape,2,0,3,10,35,52,56,40,15,11
308795,14,Landscape,1,6,9,43,68,52,23,5,3,2
308324,2,Cityscape,2,1,4,14,64,62,35,13,7,5
308291,18,Still Life,1,6,17,45,52,61,17,12,4,0
307150,18,Still Life,1,3,20,34,78,48,11,9,1,1
308206,2,Cityscape,2,6,9,43,73,45,17,7,2,1
307793,18,Still Life,2,8,11,34,63,51,26,7,1,4
308532,15,Nature,0,4,7,31,71,50,29,6,5,3
308852,20,Architecture,1,3,7,42,69,58,16,7,1,2
307726,20,Architecture,2,0,2,9,16,47,61,33,18,22
308222,14,Landscape,2,3,7,23,65,61,33,15,7,1
307977,15,Nature,2,4,14,61,68,37,17,6,1,1
307019,14,Landscape,2,1,3,3,23,60,47,37,22,7
308722,28,Water,2,3,9,23,66,60,30,10,3,3
307203,2,Cityscape,0,4,13,57,77,38,11,2,1,0
308705,14,Landscape,2,0,6,20,36,59,45,27,12,10
307820,20,Architecture,0,3,7,21,66,59,33,13,4,3
308423,15,Nature,1,13,27,72,60,28,9,7,1,0
307541,18,Still Life,2,3,12,40,69,60,13,6,2,0
306259,14,Landscape,4,1,5,7,33,70,46,34,15,7
308791,2,Cityscape,1,2,7,31,85,55,15,9,2,2
307316,15,Nature,0,4,9,34,77,51,22,13,1,4
308380,2,Cityscape,1,5,18,48,66,43,20,4,2,0
307256,18,Still Life,0,3,4,30,75,55,18,12,5,0
306632,18,Still Life,4,5,16,42,68,43,11,6,1,1
308360,2,Cityscape,1,3,9,32,81,66,11,3,2,2
308570,2,Cityscape,2,0,7,29,63,59,30,22,3,1
306322,28,Water,0,4,6,42,69,67,20,12,1,3
308316,2,Cityscape,1,2,5,12,58,66,36,22,12,5
307151,7,Sky,1,5,9,37,66,48,26,9,4,3
308375,14,Landscape,0,1,6,14,59,61,44,20,6,6
308056,14,Landscape,0,1,8,26,63,71,20,13,2,2
308878,2,Cityscape,2,3,13,36,66,60,14,11,1,1
308738,20,Architecture,0,3,8,32,65,65,20,5,2,3
308467,18,Still Life,3,4,13,36,64,61,14,8,2,2
308751,2,Cityscape,2,1,2,17,47,82,36,15,7,3
308254,18,Still Life,1,0,1,6,36,65,50,31,14,4
308221,18,Still Life,1,11,28,57,67,28,6,1,1,5
307857,2,Cityscape,1,3,8,28,74,59,29,8,1,0
308038,2,Cityscape,1,0,3,11,29,59,59,34,15,6
308843,2,Cityscape,0,9,15,55,78,38,7,2,1,1
307039,15,Nature,5,9,24,53,70,31,13,2,1,4
307146,7,Sky,1,8,16,47,78,39,5,6,0,1
308766,18,Still Life,1,1,14,38,75,52,17,4,3,2
308322,2,Cityscape,1,14,12,54,80,29,4,5,0,3
308616,20,Architecture,1,2,1,19,53,74,35,13,7,3
308674,20,Architecture,1,1,5,20,51,67,36,20,6,1
308189,18,Still Life,2,1,9,27,57,54,32,12,4,1
307103,2,Cityscape,0,11,14,67,73,25,10,6,0,1
308592,18,Still Life,3,12,24,48,58,33,9,2,0,0
307070,14,Landscape,0,2,12,18,70,54,31,13,2,4
308314,14,Landscape,1,3,5,28,59,57,31,16,5,1
308134,2,Cityscape,1,7,11,35,70,56,20,10,2,2
308232,7,Sky,1,3,13,30,68,60,17,13,4,0
308675,18,Still Life,1,4,18,49,64,46,11,7,0,2
308833,15,Nature,0,8,19,52,63,32,20,2,4,3
308832,18,Still Life,3,2,15,40,65,47,19,3,3,2
308644,14,Landscape,2,14,32,73,55,20,3,4,1,1
307334,14,Landscape,0,1,1,10,47,68,44,24,6,6
307000,2,Cityscape,2,0,3,10,34,66,51,35,6,4
308790,14,Landscape,2,0,3,12,45,76,44,22,6,7
308554,20,Architecture,2,4,8,33,68,58,17,8,6,2
307353,2,Cityscape,1,2,3,21,72,66,28,10,9,3
308161,14,Landscape,2,3,12,44,80,43,20,10,2,3
307005,7,Sky,2,6,10,32,55,68,22,13,3,7
308173,7,Sky,2,11,29,69,66,19,7,2,1,2
307784,2,Cityscape,0,5,13,42,75,44,10,8,2,3
349742,2,Cityscape,0,4,26,55,94,115,62,24,9,6
350466,2,Cityscape,0,1,1,14,38,97,92,100,37,23
348934,28,Water,0,2,8,33,96,94,84,49,17,10
350616,2,Cityscape,5,9,25,60,115,96,48,18,6,3
350620,2,Cityscape,0,0,8,20,62,101,94,64,33,19
350177,20,Architecture,0,2,7,23,65,127,103,40,18,7
351000,14,Landscape,1,7,12,53,81,101,51,54,22,16
349300,15,Nature,3,7,16,52,104,109,55,33,16,5
349159,15,Nature,13,34,67,113,106,26,12,7,2,2
348464,20,Architecture,3,17,28,74,120,90,31,17,5,2
349232,28,Water,1,5,18,41,82,102,82,30,15,7
350991,2,Cityscape,0,4,6,27,70,107,92,48,24,13
348529,2,Cityscape,3,12,43,74,125,92,25,12,1,2
349473,2,Cityscape,0,10,19,41,114,125,51,22,8,3
350891,2,Cityscape,1,3,19,44,97,130,66,30,6,7
349854,2,Cityscape,1,1,15,20,94,122,76,47,23,4
348543,18,Still Life,25,35,46,80,109,58,17,4,2,4
349875,2,Cityscape,2,14,38,59,131,91,40,13,2,2
350408,2,Cityscape,0,6,18,34,84,125,66,30,14,10
348582,14,Landscape,18,41,70,113,97,30,6,3,2,2
350546,15,Nature,13,24,58,99,103,52,16,8,0,2
349572,2,Cityscape,1,3,14,24,86,109,75,42,17,13
349930,20,Architecture,1,0,3,20,60,100,94,72,34,12
350157,7,Sky,10,20,54,87,112,57,15,10,3,3
350973,7,Sky,0,9,31,59,107,86,54,24,12,2
350912,14,Landscape,0,4,26,37,103,116,70,25,10,4
349409,7,Sky,1,5,15,52,93,93,69,34,16,9
350196,2,Cityscape,1,3,19,42,102,106,56,39,18,7
350722,15,Nature,13,22,58,88,110,60,26,7,0,3
350187,2,Cityscape,2,4,18,32,117,98,67,35,11,5
349943,18,Still Life,12,21,35,76,107,64,40,23,6,5
348705,14,Landscape,0,2,10,23,54,98,84,68,28,17
348969,14,Landscape,1,6,18,43,123,102,68,30,4,6
348548,18,Still Life,3,6,29,52,93,101,56,29,10,7
350099,14,Landscape,5,16,40,94,90,71,39,21,13,5
348762,14,Landscape,2,5,3,24,59,82,94,62,49,24
350606,20,Architecture,11,12,31,49,118,94,57,18,3,3
348830,27,Rural,4,9,39,60,126,97,44,17,3,2
350999,28,Water,4,14,26,49,100,79,63,44,9,9
349954,20,Architecture,1,4,8,33,99,125,80,31,15,7
348357,15,Nature,0,8,27,51,104,93,59,27,10,5
348876,2,Cityscape,1,0,7,22,53,93,109,70,35,19
350843,7,Sky,0,3,9,28,73,96,95,50,19,9
349758,18,Still Life,5,25,38,78,104,72,26,12,2,1
350294,18,Still Life,22,35,58,89,93,53,24,6,4,4
350410,18,Still Life,2,12,34,72,118,78,39,20,6,2
350581,14,Landscape,4,12,33,73,130,77,31,12,3,3
349519,7,Sky,2,8,23,42,100,108,63,31,7,1
349960,2,Cityscape,4,6,18,51,118,114,40,23,5,3
350629,20,Architecture,0,2,15,41,107,113,60,23,10,6
350041,14,Landscape,0,4,7,28,93,125,80,43,24,7
351035,18,Still Life,1,6,13,26,81,119,74,36,17,10
349690,7,Sky,0,2,7,22,68,97,83,67,25,20
349745,18,Still Life,48,74,62,96,72,25,5,3,1,3
348852,18,Still Life,8,27,41,96,129,56,23,3,0,1
349801,2,Cityscape,0,6,12,29,78,103,97,44,21,8
348808,18,Still Life,5,19,36,72,104,87,47,18,3,2
351020,18,Still Life,15,36,57,93,97,48,18,6,3,3
350596,14,Landscape,7,21,32,71,107,83,33,15,12,7
350884,20,Architecture,2,9,23,57,106,108,50,25,14,5
348832,7,Sky,1,2,13,14,76,100,75,62,31,17
348302,2,Cityscape,1,3,23,56,113,93,49,25,15,5
350111,7,Sky,0,2,9,35,85,121,81,41,16,6
349978,2,Cityscape,56,70,91,98,44,18,5,2,0,4
349744,14,Landscape,3,7,27,57,130,95,40,18,8,7
351032,15,Nature,0,0,4,7,29,86,106,81,50,34
349732,18,Still Life,6,16,33,54,117,71,42,24,7,6
349106,28,Water,0,1,8,15,50,93,89,73,51,21
350630,20,Architecture,11,12,51,72,120,79,20,10,2,3
349484,14,Landscape,2,13,38,74,116,78,37,8,2,4
348505,20,Architecture,1,4,24,39,81,119,72,52,12,4
350036,15,Nature,0,3,7,26,71,102,90,46,40,19
349646,15,Nature,26,44,76,107,85,21,6,5,1,2
350990,15,Nature,5,12,29,72,110,86,39,12,9,2
349947,14,Landscape,2,2,6,24,46,86,106,68,42,17
349302,7,Sky,3,5,29,52,111,108,46,23,4,3
349419,14,Landscape,2,7,9,40,70,83,79,51,24,27
350938,14,Landscape,3,3,15,47,96,109,85,24,7,7
349961,2,Cityscape,0,4,15,48,115,103,61,31,6,6
349888,14,Landscape,0,0,4,18,45,65,92,82,48,31
349341,2,Cityscape,4,12,39,75,134,73,25,14,3,3
349821,14,Landscape,3,18,34,64,132,86,37,10,2,1
350089,7,Sky,0,8,17,48,103,110,61,20,16,4
